date,route,vessel_class,period,price
2022-04-20,Australia-Dhamra,Panamax,6M,16.68
2022-04-20,Australia-Dhamra,Panamax,1Y,16.99
2022-04-20,Australia-Dhamra,Capesize,1M,13.91
2022-04-20,Australia-Dhamra,Capesize,3M,14.31
2022-04-20,Australia-Dhamra,Capesize,6M,14.58
2022-04-20,Australia-Dhamra,Capesize,1Y,15.23
2022-04-20,Australia-Gangavaram,Panamax,1M,17.83
2022-04-20,Australia-Gangavaram,Panamax,3M,17.57
2022-04-20,Australia-Gangavaram,Panamax,6M,17.59
2022-04-20,Australia-Gangavaram,Panamax,1Y,17.92
2022-04-20,Australia-Gangavaram,Capesize,1M,16.08
2022-04-20,Australia-Gangavaram,Capesize,3M,16.17
2022-04-20,Australia-Gangavaram,Capesize,6M,16.46
2022-04-20,Australia-Gangavaram,Capesize,1Y,16.57
2022-04-20,Australia-Gopalpur,Panamax,1M,14.6
2022-04-20,Australia-Gopalpur,Panamax,3M,14.84
2022-04-20,Australia-Gopalpur,Panamax,6M,14.96
2022-04-20,Australia-Gopalpur,Panamax,1Y,15.35
2022-04-20,Australia-Gopalpur,Capesize,1M,15.86
2022-04-20,Australia-Gopalpur,Capesize,3M,16.12
2022-04-20,Australia-Gopalpur,Capesize,6M,16.37
2022-04-20,Australia-Gopalpur,Capesize,1Y,16.36
2022-04-20,Australia-Haldia,Panamax,1M,15.51
2022-04-20,Australia-Haldia,Panamax,3M,15.39
2022-04-20,Australia-Haldia,Panamax,6M,15.45
2022-04-20,Australia-Haldia,Panamax,1Y,15.76
2022-04-20,Australia-Haldia,Capesize,1M,15.51
2022-04-20,Australia-Haldia,Capesize,3M,15.43
2022-04-20,Australia-Haldia,Capesize,6M,15.98
2022-04-20,Australia-Haldia,Capesize,1Y,16.24
2022-04-20,Indonesia-Paradip,Panamax,1M,8.85
2022-04-20,Indonesia-Paradip,Panamax,3M,8.93
2022-04-20,Indonesia-Paradip,Panamax,6M,9.06
2022-04-20,Indonesia-Paradip,Panamax,1Y,9.1
2022-04-20,Indonesia-Paradip,Capesize,1M,9.09
2022-04-20,Indonesia-Paradip,Capesize,3M,9.28
2022-04-20,Indonesia-Paradip,Capesize,6M,9.15
2022-04-20,Indonesia-Paradip,Capesize,1Y,9.4
2022-04-20,Indonesia-Vizag,Panamax,1M,8.9
2022-04-20,Indonesia-Vizag,Panamax,3M,9.02
2022-04-20,Indonesia-Vizag,Panamax,6M,9.21
2022-04-20,Indonesia-Vizag,Panamax,1Y,9.32
2022-04-20,Indonesia-Vizag,Capesize,1M,10.4
2022-04-20,Indonesia-Vizag,Capesize,3M,10.71
2022-04-20,Indonesia-Vizag,Capesize,6M,10.7
2022-04-20,Indonesia-Vizag,Capesize,1Y,11.11
2022-04-20,Indonesia-Dhamra,Panamax,1M,12.04
2022-04-20,Indonesia-Dhamra,Panamax,3M,11.9
2022-04-20,Indonesia-Dhamra,Panamax,6M,12.09
2022-04-20,Indonesia-Dhamra,Panamax,1Y,12.48
2022-04-20,Indonesia-Dhamra,Capesize,1M,11.63
2022-04-20,Indonesia-Dhamra,Capesize,3M,11.53
2022-04-20,Indonesia-Dhamra,Capesize,6M,11.69
2022-04-20,Indonesia-Dhamra,Capesize,1Y,11.94
2022-04-20,Indonesia-Gangavaram,Panamax,1M,12.09
2022-04-20,Indonesia-Gangavaram,Panamax,3M,12.37
2022-04-20,Indonesia-Gangavaram,Panamax,6M,13.01
2022-04-20,Indonesia-Gangavaram,Panamax,1Y,12.94
2022-04-20,Indonesia-Gangavaram,Capesize,1M,12.08
2022-04-20,Indonesia-Gangavaram,Capesize,3M,12.34
2022-04-20,Indonesia-Gangavaram,Capesize,6M,12.44
2022-04-20,Indonesia-Gangavaram,Capesize,1Y,12.98
2022-04-20,Indonesia-Gopalpur,Panamax,1M,12.18
2022-04-20,Indonesia-Gopalpur,Panamax,3M,12.21
2022-04-20,Indonesia-Gopalpur,Panamax,6M,12.45
2022-04-20,Indonesia-Gopalpur,Panamax,1Y,12.87
2022-04-20,Indonesia-Gopalpur,Capesize,1M,11.34
2022-04-20,Indonesia-Gopalpur,Capesize,3M,11.45
2022-04-20,Indonesia-Gopalpur,Capesize,6M,11.54
2022-04-20,Indonesia-Gopalpur,Capesize,1Y,11.5
2022-04-20,Indonesia-Haldia,Panamax,1M,10.15
2022-04-20,Indonesia-Haldia,Panamax,3M,10.52
2022-04-20,Indonesia-Haldia,Panamax,6M,10.41
2022-04-20,Indonesia-Haldia,Panamax,1Y,10.58
2022-04-20,Indonesia-Haldia,Capesize,1M,8.56
2022-04-20,Indonesia-Haldia,Capesize,3M,8.76
2022-04-20,Indonesia-Haldia,Capesize,6M,8.7
2022-04-20,Indonesia-Haldia,Capesize,1Y,9.0
2022-04-20,Russia-Paradip,Panamax,1M,24.18
2022-04-20,Russia-Paradip,Panamax,3M,24.27
2022-04-20,Russia-Paradip,Panamax,6M,24.63
2022-04-20,Russia-Paradip,Panamax,1Y,25.0
2022-04-20,Russia-Paradip,Capesize,1M,20.73
2022-04-20,Russia-Paradip,Capesize,3M,21.37
2022-04-20,Russia-Paradip,Capesize,6M,21.27
2022-04-20,Russia-Paradip,Capesize,1Y,22.21
2022-04-20,Russia-Vizag,Panamax,1M,18.41
2022-04-20,Russia-Vizag,Panamax,3M,18.23
2022-04-20,Russia-Vizag,Panamax,6M,19.04
2022-04-20,Russia-Vizag,Panamax,1Y,19.27
2022-04-20,Russia-Vizag,Capesize,1M,20.98
2022-04-20,Russia-Vizag,Capesize,3M,20.51
2022-04-20,Russia-Vizag,Capesize,6M,20.7
2022-04-20,Russia-Vizag,Capesize,1Y,21.79
2022-04-20,Russia-Dhamra,Panamax,1M,18.7
2022-04-20,Russia-Dhamra,Panamax,3M,19.16
2022-04-20,Russia-Dhamra,Panamax,6M,18.95
2022-04-20,Russia-Dhamra,Panamax,1Y,19.85
2022-04-20,Russia-Dhamra,Capesize,1M,22.75
2022-04-20,Russia-Dhamra,Capesize,3M,23.17
2022-04-20,Russia-Dhamra,Capesize,6M,23.12
2022-04-20,Russia-Dhamra,Capesize,1Y,23.55
2022-04-20,Russia-Gangavaram,Panamax,1M,22.31
2022-04-20,Russia-Gangavaram,Panamax,3M,23.31
2022-04-20,Russia-Gangavaram,Panamax,6M,23.24
2022-04-20,Russia-Gangavaram,Panamax,1Y,23.66
2022-04-20,Russia-Gangavaram,Capesize,1M,23.17
2022-04-20,Russia-Gangavaram,Capesize,3M,23.78
2022-04-20,Russia-Gangavaram,Capesize,6M,24.54
2022-04-20,Russia-Gangavaram,Capesize,1Y,24.44
2022-04-20,Russia-Gopalpur,Panamax,1M,21.37
2022-04-20,Russia-Gopalpur,Panamax,3M,21.81
2022-04-20,Russia-Gopalpur,Panamax,6M,22.42
2022-04-20,Russia-Gopalpur,Panamax,1Y,22.74
2022-04-20,Russia-Gopalpur,Capesize,1M,23.14
2022-04-20,Russia-Gopalpur,Capesize,3M,23.89
2022-04-20,Russia-Gopalpur,Capesize,6M,23.73
2022-04-20,Russia-Gopalpur,Capesize,1Y,24.15
2022-04-20,Russia-Haldia,Panamax,1M,25.87
2022-04-20,Russia-Haldia,Panamax,3M,25.42
2022-04-20,Russia-Haldia,Panamax,6M,26.0
2022-04-20,Russia-Haldia,Panamax,1Y,26.9
2022-04-20,Russia-Haldia,Capesize,1M,20.51
2022-04-20,Russia-Haldia,Capesize,3M,20.06
2022-04-20,Russia-Haldia,Capesize,6M,21.04
2022-04-20,Russia-Haldia,Capesize,1Y,20.81
2022-04-20,Mozambique-Paradip,Panamax,1M,18.79
2022-04-20,Mozambique-Paradip,Panamax,3M,19.39
2022-04-20,Mozambique-Paradip,Panamax,6M,19.32
2022-04-20,Mozambique-Paradip,Panamax,1Y,19.03
2022-04-20,Mozambique-Paradip,Capesize,1M,18.12
2022-04-20,Mozambique-Paradip,Capesize,3M,18.15
2022-04-20,Mozambique-Paradip,Capesize,6M,18.43
2022-04-20,Mozambique-Paradip,Capesize,1Y,18.9
2022-04-20,Mozambique-Vizag,Panamax,1M,18.71
2022-04-20,Mozambique-Vizag,Panamax,3M,19.47
2022-04-20,Mozambique-Vizag,Panamax,6M,19.03
2022-04-20,Mozambique-Vizag,Panamax,1Y,19.67
2022-04-20,Mozambique-Vizag,Capesize,1M,18.09
2022-04-20,Mozambique-Vizag,Capesize,3M,18.27
2022-04-20,Mozambique-Vizag,Capesize,6M,18.42
2022-04-20,Mozambique-Vizag,Capesize,1Y,18.71
2022-04-20,Mozambique-Dhamra,Panamax,1M,19.59
2022-04-20,Mozambique-Dhamra,Panamax,3M,19.9
2022-04-20,Mozambique-Dhamra,Panamax,6M,20.25
2022-04-20,Mozambique-Dhamra,Panamax,1Y,20.36
2022-04-20,Mozambique-Dhamra,Capesize,1M,21.62
2022-04-20,Mozambique-Dhamra,Capesize,3M,20.85
2022-04-20,Mozambique-Dhamra,Capesize,6M,21.47
2022-04-20,Mozambique-Dhamra,Capesize,1Y,21.62
2022-04-20,Mozambique-Gangavaram,Panamax,1M,21.77
2022-04-20,Mozambique-Gangavaram,Panamax,3M,22.07
2022-04-20,Mozambique-Gangavaram,Panamax,6M,22.36
2022-04-20,Mozambique-Gangavaram,Panamax,1Y,22.0
2022-04-20,Mozambique-Gangavaram,Capesize,1M,18.25
2022-04-20,Mozambique-Gangavaram,Capesize,3M,18.88
2022-04-20,Mozambique-Gangavaram,Capesize,6M,18.54
2022-04-20,Mozambique-Gangavaram,Capesize,1Y,18.73
2022-04-20,Mozambique-Gopalpur,Panamax,1M,20.01
2022-04-20,Mozambique-Gopalpur,Panamax,3M,20.5
2022-04-20,Mozambique-Gopalpur,Panamax,6M,20.41
2022-04-20,Mozambique-Gopalpur,Panamax,1Y,21.51
2022-04-20,Mozambique-Gopalpur,Capesize,1M,18.04
2022-04-20,Mozambique-Gopalpur,Capesize,3M,18.49
2022-04-20,Mozambique-Gopalpur,Capesize,6M,19.29
2022-04-20,Mozambique-Gopalpur,Capesize,1Y,19.25
2022-04-20,Mozambique-Haldia,Panamax,1M,19.29
2022-04-20,Mozambique-Haldia,Panamax,3M,19.45
2022-04-20,Mozambique-Haldia,Panamax,6M,19.73
2022-04-20,Mozambique-Haldia,Panamax,1Y,20.1
2022-04-20,Mozambique-Haldia,Capesize,1M,21.26
2022-04-20,Mozambique-Haldia,Capesize,3M,21.04
2022-04-20,Mozambique-Haldia,Capesize,6M,21.47
2022-04-20,Mozambique-Haldia,Capesize,1Y,21.86
2022-04-20,USA-Paradip,Panamax,1M,30.47
2022-04-20,USA-Paradip,Panamax,3M,31.06
2022-04-20,USA-Paradip,Panamax,6M,30.92
2022-04-20,USA-Paradip,Panamax,1Y,31.1
2022-04-20,USA-Paradip,Capesize,1M,32.97
2022-04-20,USA-Paradip,Capesize,3M,32.48
2022-04-20,USA-Paradip,Capesize,6M,32.35
2022-04-20,USA-Paradip,Capesize,1Y,33.43
2022-04-20,USA-Vizag,Panamax,1M,33.07
2022-04-20,USA-Vizag,Panamax,3M,32.83
2022-04-20,USA-Vizag,Panamax,6M,33.74
2022-04-20,USA-Vizag,Panamax,1Y,34.13
2022-04-20,USA-Vizag,Capesize,1M,28.63
2022-04-20,USA-Vizag,Capesize,3M,28.17
2022-04-20,USA-Vizag,Capesize,6M,28.84
2022-04-20,USA-Vizag,Capesize,1Y,29.32
2022-04-20,USA-Dhamra,Panamax,1M,34.93
2022-04-20,USA-Dhamra,Panamax,3M,34.78
2022-04-20,USA-Dhamra,Panamax,6M,34.95
2022-04-20,USA-Dhamra,Panamax,1Y,35.61
2022-04-20,USA-Dhamra,Capesize,1M,38.08
2022-04-20,USA-Dhamra,Capesize,3M,37.06
2022-04-20,USA-Dhamra,Capesize,6M,38.48
2022-04-20,USA-Dhamra,Capesize,1Y,38.98
2022-04-20,USA-Gangavaram,Panamax,1M,27.9
2022-04-20,USA-Gangavaram,Panamax,3M,26.93
2022-04-20,USA-Gangavaram,Panamax,6M,27.96
2022-04-20,USA-Gangavaram,Panamax,1Y,28.51
2022-04-20,USA-Gangavaram,Capesize,1M,33.7
2022-04-20,USA-Gangavaram,Capesize,3M,33.93
2022-04-20,USA-Gangavaram,Capesize,6M,33.4
2022-04-20,USA-Gangavaram,Capesize,1Y,34.47
2022-04-20,USA-Gopalpur,Panamax,1M,34.58
2022-04-20,USA-Gopalpur,Panamax,3M,35.41
2022-04-20,USA-Gopalpur,Panamax,6M,36.15
2022-04-20,USA-Gopalpur,Panamax,1Y,37.36
2022-04-20,USA-Gopalpur,Capesize,1M,33.81
2022-04-20,USA-Gopalpur,Capesize,3M,35.56
2022-04-20,USA-Gopalpur,Capesize,6M,34.56
2022-04-20,USA-Gopalpur,Capesize,1Y,35.08
2022-04-20,USA-Haldia,Panamax,1M,34.33
2022-04-20,USA-Haldia,Panamax,3M,35.31
2022-04-20,USA-Haldia,Panamax,6M,34.58
2022-04-20,USA-Haldia,Panamax,1Y,35.07
2022-04-20,USA-Haldia,Capesize,1M,31.26
2022-04-20,USA-Haldia,Capesize,3M,31.69
2022-04-20,USA-Haldia,Capesize,6M,31.75
2022-04-20,USA-Haldia,Capesize,1Y,32.38
2022-05-20,Australia-Paradip,Panamax,1M,15.41
2022-05-20,Australia-Paradip,Panamax,3M,15.48
2022-05-20,Australia-Paradip,Panamax,6M,16.1
2022-05-20,Australia-Paradip,Panamax,1Y,15.82
2022-05-20,Australia-Paradip,Capesize,1M,18.77
2022-05-20,Australia-Paradip,Capesize,3M,18.86
2022-05-20,Australia-Paradip,Capesize,6M,18.83
2022-05-20,Australia-Paradip,Capesize,1Y,19.41
2022-05-20,Australia-Vizag,Panamax,1M,18.47
2022-05-20,Australia-Vizag,Panamax,3M,18.9
2022-05-20,Australia-Vizag,Panamax,6M,18.51
2022-05-20,Australia-Vizag,Panamax,1Y,19.48
2022-05-20,Australia-Vizag,Capesize,1M,14.34
2022-05-20,Australia-Vizag,Capesize,3M,14.46
2022-05-20,Australia-Vizag,Capesize,6M,15.14
2022-05-20,Australia-Vizag,Capesize,1Y,14.9
2022-05-20,Australia-Dhamra,Panamax,1M,17.37
2022-05-20,Australia-Dhamra,Panamax,3M,17.51
2022-05-20,Australia-Dhamra,Panamax,6M,18.18
2022-05-20,Australia-Dhamra,Panamax,1Y,18.44
2022-05-20,Australia-Dhamra,Capesize,1M,15.81
2022-05-20,Australia-Dhamra,Capesize,3M,15.69
2022-05-20,Australia-Dhamra,Capesize,6M,15.89
2022-05-20,Australia-Dhamra,Capesize,1Y,16.08
2022-05-20,Australia-Gangavaram,Panamax,1M,16.57
2022-05-20,Australia-Gangavaram,Panamax,3M,16.83
2022-05-20,Australia-Gangavaram,Panamax,6M,16.44
2022-05-20,Australia-Gangavaram,Panamax,1Y,16.78
2022-05-20,Australia-Gangavaram,Capesize,1M,16.75
2022-05-20,Australia-Gangavaram,Capesize,3M,17.06
2022-05-20,Australia-Gangavaram,Capesize,6M,16.91
2022-05-20,Australia-Gangavaram,Capesize,1Y,17.66
2022-05-20,Australia-Gopalpur,Panamax,1M,15.99
2022-05-20,Australia-Gopalpur,Panamax,3M,15.36
2022-05-20,Australia-Gopalpur,Panamax,6M,16.17
2022-05-20,Australia-Gopalpur,Panamax,1Y,16.53
2022-05-20,Australia-Gopalpur,Capesize,1M,18.16
2022-05-20,Australia-Gopalpur,Capesize,3M,18.08
2022-05-20,Australia-Gopalpur,Capesize,6M,19.01
2022-05-20,Australia-Gopalpur,Capesize,1Y,19.15
2022-05-20,Australia-Haldia,Panamax,1M,18.02
2022-05-20,Australia-Haldia,Panamax,3M,18.58
2022-05-20,Australia-Haldia,Panamax,6M,18.32
2022-05-20,Australia-Haldia,Panamax,1Y,18.81
2022-05-20,Australia-Haldia,Capesize,1M,16.45
2022-05-20,Australia-Haldia,Capesize,3M,16.26
2022-05-20,Australia-Haldia,Capesize,6M,17.12
2022-05-20,Australia-Haldia,Capesize,1Y,17.37
2022-05-20,Indonesia-Paradip,Panamax,1M,11.75
2022-05-20,Indonesia-Paradip,Panamax,3M,11.88
2022-05-20,Indonesia-Paradip,Panamax,6M,12.2
2022-05-20,Indonesia-Paradip,Panamax,1Y,12.25
2022-05-20,Indonesia-Paradip,Capesize,1M,9.2
2022-05-20,Indonesia-Paradip,Capesize,3M,9.55
2022-05-20,Indonesia-Paradip,Capesize,6M,9.24
2022-05-20,Indonesia-Paradip,Capesize,1Y,9.62
2022-05-20,Indonesia-Vizag,Panamax,1M,9.71
2022-05-20,Indonesia-Vizag,Panamax,3M,10.07
2022-05-20,Indonesia-Vizag,Panamax,6M,10.07
2022-05-20,Indonesia-Vizag,Panamax,1Y,10.32
2022-05-20,Indonesia-Vizag,Capesize,1M,8.93
2022-05-20,Indonesia-Vizag,Capesize,3M,9.07
2022-05-20,Indonesia-Vizag,Capesize,6M,9.19
2022-05-20,Indonesia-Vizag,Capesize,1Y,9.48
2022-05-20,Indonesia-Dhamra,Panamax,1M,9.84
2022-05-20,Indonesia-Dhamra,Panamax,3M,9.8
2022-05-20,Indonesia-Dhamra,Panamax,6M,9.96
2022-05-20,Indonesia-Dhamra,Panamax,1Y,10.39
2022-05-20,Indonesia-Dhamra,Capesize,1M,9.05
2022-05-20,Indonesia-Dhamra,Capesize,3M,9.23
2022-05-20,Indonesia-Dhamra,Capesize,6M,9.05
2022-05-20,Indonesia-Dhamra,Capesize,1Y,9.58
2022-05-20,Indonesia-Gangavaram,Panamax,1M,9.09
2022-05-20,Indonesia-Gangavaram,Panamax,3M,9.38
2022-05-20,Indonesia-Gangavaram,Panamax,6M,9.12
2022-05-20,Indonesia-Gangavaram,Panamax,1Y,9.35
2022-05-20,Indonesia-Gangavaram,Capesize,1M,9.09
2022-05-20,Indonesia-Gangavaram,Capesize,3M,9.56
2022-05-20,Indonesia-Gangavaram,Capesize,6M,9.61
2022-05-20,Indonesia-Gangavaram,Capesize,1Y,9.81
2022-05-20,Indonesia-Gopalpur,Panamax,1M,12.72
2022-05-20,Indonesia-Gopalpur,Panamax,3M,12.92
2022-05-20,Indonesia-Gopalpur,Panamax,6M,12.96
2022-05-20,Indonesia-Gopalpur,Panamax,1Y,13.28
2022-05-20,Indonesia-Gopalpur,Capesize,1M,9.76
2022-05-20,Indonesia-Gopalpur,Capesize,3M,9.94
2022-05-20,Indonesia-Gopalpur,Capesize,6M,10.29
2022-05-20,Indonesia-Gopalpur,Capesize,1Y,10.22
2022-05-20,Indonesia-Haldia,Panamax,1M,11.53
2022-05-20,Indonesia-Haldia,Panamax,3M,11.27
2022-05-20,Indonesia-Haldia,Panamax,6M,11.17
2022-05-20,Indonesia-Haldia,Panamax,1Y,11.58
2022-05-20,Indonesia-Haldia,Capesize,1M,9.18
2022-05-20,Indonesia-Haldia,Capesize,3M,9.19
2022-05-20,Indonesia-Haldia,Capesize,6M,9.38
2022-05-20,Indonesia-Haldia,Capesize,1Y,9.56
2022-05-20,Russia-Paradip,Panamax,1M,22.63
2022-05-20,Russia-Paradip,Panamax,3M,21.87
2022-05-20,Russia-Paradip,Panamax,6M,23.02
2022-05-20,Russia-Paradip,Panamax,1Y,22.72
2022-05-20,Russia-Paradip,Capesize,1M,22.91
2022-05-20,Russia-Paradip,Capesize,3M,22.92
2022-05-20,Russia-Paradip,Capesize,6M,23.45
2022-05-20,Russia-Paradip,Capesize,1Y,23.54
2022-05-20,Russia-Vizag,Panamax,1M,25.28
2022-05-20,Russia-Vizag,Panamax,3M,25.17
2022-05-20,Russia-Vizag,Panamax,6M,25.96
2022-05-20,Russia-Vizag,Panamax,1Y,26.28
2022-05-20,Russia-Vizag,Capesize,1M,26.22
2022-05-20,Russia-Vizag,Capesize,3M,27.31
2022-05-20,Russia-Vizag,Capesize,6M,27.03
2022-05-20,Russia-Vizag,Capesize,1Y,27.83
2022-05-20,Russia-Dhamra,Panamax,1M,24.93
2022-05-20,Russia-Dhamra,Panamax,3M,25.78
2022-05-20,Russia-Dhamra,Panamax,6M,26.02
2022-05-20,Russia-Dhamra,Panamax,1Y,26.57
2022-05-20,Russia-Dhamra,Capesize,1M,22.71
2022-05-20,Russia-Dhamra,Capesize,3M,22.4
2022-05-20,Russia-Dhamra,Capesize,6M,22.96
2022-05-20,Russia-Dhamra,Capesize,1Y,23.36
2022-05-20,Russia-Gangavaram,Panamax,1M,23.63
2022-05-20,Russia-Gangavaram,Panamax,3M,23.42
2022-05-20,Russia-Gangavaram,Panamax,6M,24.16
2022-05-20,Russia-Gangavaram,Panamax,1Y,24.49
2022-05-20,Russia-Gangavaram,Capesize,1M,23.48
2022-05-20,Russia-Gangavaram,Capesize,3M,24.33
2022-05-20,Russia-Gangavaram,Capesize,6M,24.17
2022-05-20,Russia-Gangavaram,Capesize,1Y,25.02
2022-05-20,Russia-Gopalpur,Panamax,1M,23.74
2022-05-20,Russia-Gopalpur,Panamax,3M,23.82
2022-05-20,Russia-Gopalpur,Panamax,6M,24.19
2022-05-20,Russia-Gopalpur,Panamax,1Y,23.92
2022-05-20,Russia-Gopalpur,Capesize,1M,20.16
2022-05-20,Russia-Gopalpur,Capesize,3M,19.75
2022-05-20,Russia-Gopalpur,Capesize,6M,20.83
2022-05-20,Russia-Gopalpur,Capesize,1Y,21.01
2022-05-20,Russia-Haldia,Panamax,1M,21.1
2022-05-20,Russia-Haldia,Panamax,3M,21.47
2022-05-20,Russia-Haldia,Panamax,6M,22.33
2022-05-20,Russia-Haldia,Panamax,1Y,22.35
2022-05-20,Russia-Haldia,Capesize,1M,21.87
2022-05-20,Russia-Haldia,Capesize,3M,22.81
2022-05-20,Russia-Haldia,Capesize,6M,22.8
2022-05-20,Russia-Haldia,Capesize,1Y,23.26
2022-05-20,Mozambique-Paradip,Panamax,1M,22.74
2022-05-20,Mozambique-Paradip,Panamax,3M,22.79
2022-05-20,Mozambique-Paradip,Panamax,6M,23.02
2022-05-20,Mozambique-Paradip,Panamax,1Y,23.21
2022-05-20,Mozambique-Paradip,Capesize,1M,22.78
2022-05-20,Mozambique-Paradip,Capesize,3M,23.23
2022-05-20,Mozambique-Paradip,Capesize,6M,23.35
2022-05-20,Mozambique-Paradip,Capesize,1Y,23.61
2022-05-20,Mozambique-Vizag,Panamax,1M,21.32
2022-05-20,Mozambique-Vizag,Panamax,3M,21.92
2022-05-20,Mozambique-Vizag,Panamax,6M,22.12
2022-05-20,Mozambique-Vizag,Panamax,1Y,22.51
2022-05-20,Mozambique-Vizag,Capesize,1M,21.05
2022-05-20,Mozambique-Vizag,Capesize,3M,21.92
2022-05-20,Mozambique-Vizag,Capesize,6M,21.96
2022-05-20,Mozambique-Vizag,Capesize,1Y,22.54
2022-05-20,Mozambique-Dhamra,Panamax,1M,17.95
2022-05-20,Mozambique-Dhamra,Panamax,3M,18.33
2022-05-20,Mozambique-Dhamra,Panamax,6M,19.51
2022-05-20,Mozambique-Dhamra,Panamax,1Y,19.37
2022-05-20,Mozambique-Dhamra,Capesize,1M,22.1
2022-05-20,Mozambique-Dhamra,Capesize,3M,22.86
2022-05-20,Mozambique-Dhamra,Capesize,6M,22.58
2022-05-20,Mozambique-Dhamra,Capesize,1Y,23.44
2022-05-20,Mozambique-Gangavaram,Panamax,1M,18.9
2022-05-20,Mozambique-Gangavaram,Panamax,3M,19.11
2022-05-20,Mozambique-Gangavaram,Panamax,6M,19.21
2022-05-20,Mozambique-Gangavaram,Panamax,1Y,19.41
2022-05-20,Mozambique-Gangavaram,Capesize,1M,21.01
2022-05-20,Mozambique-Gangavaram,Capesize,3M,21.64
2022-05-20,Mozambique-Gangavaram,Capesize,6M,21.72
2022-05-20,Mozambique-Gangavaram,Capesize,1Y,20.8
2022-05-20,Mozambique-Gopalpur,Panamax,1M,18.96
2022-05-20,Mozambique-Gopalpur,Panamax,3M,19.75
2022-05-20,Mozambique-Gopalpur,Panamax,6M,19.87
2022-05-20,Mozambique-Gopalpur,Panamax,1Y,19.5
2022-05-20,Mozambique-Gopalpur,Capesize,1M,20.28
2022-05-20,Mozambique-Gopalpur,Capesize,3M,20.4
2022-05-20,Mozambique-Gopalpur,Capesize,6M,20.68
2022-05-20,Mozambique-Gopalpur,Capesize,1Y,21.32
2022-05-20,Mozambique-Haldia,Panamax,1M,19.46
2022-05-20,Mozambique-Haldia,Panamax,3M,18.85
2022-05-20,Mozambique-Haldia,Panamax,6M,19.4
2022-05-20,Mozambique-Haldia,Panamax,1Y,19.83
2022-05-20,Mozambique-Haldia,Capesize,1M,20.35
2022-05-20,Mozambique-Haldia,Capesize,3M,19.61
2022-05-20,Mozambique-Haldia,Capesize,6M,20.64
2022-05-20,Mozambique-Haldia,Capesize,1Y,21.15
2022-05-20,USA-Paradip,Panamax,1M,29.84
2022-05-20,USA-Paradip,Panamax,3M,30.66
2022-05-20,USA-Paradip,Panamax,6M,29.74
2022-05-20,USA-Paradip,Panamax,1Y,31.07
2022-05-20,USA-Paradip,Capesize,1M,31.36
2022-05-20,USA-Paradip,Capesize,3M,31.4
2022-05-20,USA-Paradip,Capesize,6M,31.22
2022-05-20,USA-Paradip,Capesize,1Y,32.69
2022-05-20,USA-Vizag,Panamax,1M,34.75
2022-05-20,USA-Vizag,Panamax,3M,35.57
2022-05-20,USA-Vizag,Panamax,6M,34.44
2022-05-20,USA-Vizag,Panamax,1Y,36.99
2022-05-20,USA-Vizag,Capesize,1M,33.5
2022-05-20,USA-Vizag,Capesize,3M,33.45
2022-05-20,USA-Vizag,Capesize,6M,33.68
2022-05-20,USA-Vizag,Capesize,1Y,33.65
2022-05-20,USA-Dhamra,Panamax,1M,32.69
2022-05-20,USA-Dhamra,Panamax,3M,35.39
2022-05-20,USA-Dhamra,Panamax,6M,35.35
2022-05-20,USA-Dhamra,Panamax,1Y,35.21
2022-05-20,USA-Dhamra,Capesize,1M,34.36
2022-05-20,USA-Dhamra,Capesize,3M,34.49
2022-05-20,USA-Dhamra,Capesize,6M,35.82
2022-05-20,USA-Dhamra,Capesize,1Y,35.0
2022-05-20,USA-Gangavaram,Panamax,1M,36.47
2022-05-20,USA-Gangavaram,Panamax,3M,37.92
2022-05-20,USA-Gangavaram,Panamax,6M,37.68
2022-05-20,USA-Gangavaram,Panamax,1Y,38.72
2022-05-20,USA-Gangavaram,Capesize,1M,29.87
2022-05-20,USA-Gangavaram,Capesize,3M,30.32
2022-05-20,USA-Gangavaram,Capesize,6M,30.67
2022-05-20,USA-Gangavaram,Capesize,1Y,31.36
2022-05-20,USA-Gopalpur,Panamax,1M,38.18
2022-05-20,USA-Gopalpur,Panamax,3M,38.38
2022-05-20,USA-Gopalpur,Panamax,6M,38.26
2022-05-20,USA-Gopalpur,Panamax,1Y,38.97
2022-05-20,USA-Gopalpur,Capesize,1M,32.81
2022-05-20,USA-Gopalpur,Capesize,3M,32.74
2022-05-20,USA-Gopalpur,Capesize,6M,34.89
2022-05-20,USA-Gopalpur,Capesize,1Y,33.58
2022-05-20,USA-Haldia,Panamax,1M,33.16
2022-05-20,USA-Haldia,Panamax,3M,33.31
2022-05-20,USA-Haldia,Panamax,6M,33.82
2022-05-20,USA-Haldia,Panamax,1Y,34.2
2022-05-20,USA-Haldia,Capesize,1M,36.34
2022-05-20,USA-Haldia,Capesize,3M,35.94
2022-05-20,USA-Haldia,Capesize,6M,35.16
2022-05-20,USA-Haldia,Capesize,1Y,37.37
2022-06-19,Australia-Paradip,Panamax,1M,17.27
2022-06-19,Australia-Paradip,Panamax,3M,16.94
2022-06-19,Australia-Paradip,Panamax,6M,17.15
2022-06-19,Australia-Paradip,Panamax,1Y,18.02
2022-06-19,Australia-Paradip,Capesize,1M,15.76
2022-06-19,Australia-Paradip,Capesize,3M,15.71
2022-06-19,Australia-Paradip,Capesize,6M,16.25
2022-06-19,Australia-Paradip,Capesize,1Y,16.27
